2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Stout,Belgian Ale,Belgian Ale,Bitter,Pale Ale,Stout,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Stout,Stout
Pale Ale,Porter,Stout,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Stout,Brown Ale,Stout,Lambic & Sour Ale,Alternative/Traditional,Stout
Belgian Ale,Alternative/Traditional,Bock,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Stout,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Brown Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Belgian Ale
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Lambic & Sour Ale,Bock,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
Belgian Ale,Stout,Lambic & Sour Ale,Stout,Belgian Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Belgian Ale
Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Stout
Stout,Stout,Belgian Ale,Lambic & Sour Ale,Stout,Stout,Stout,Bock,Stout,Stout,Lambic & Sour Ale,Stout
Belgian Ale,Stout,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Wheat Beer,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
Bock,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Stout
Stout,Porter,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Belgian Ale
Pale Ale,Belgian Ale,Bock,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
Belgian Ale,Porter,Pale Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
Bock,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Bock,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Porter,Belgian Ale,Belgian Ale,Pale Ale,Stout,Belgian Ale,Brown Ale,Lambic & Sour Ale,Stout,Belgian Ale,Brown Ale
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout
Belgian Ale,Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Belgian Ale,Stout,Stout,Alternative/Traditional,Stout,Stout
Stout,Stout,Pale Ale,Stout,Stout,Belgian Ale,Stout,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Brown Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Porter,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Stout,Brown Ale,Alternative/Traditional,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Lambic & Sour Ale,Belgian Ale,Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Belgian Ale,Pale Ale,Stout,Stout,Alternative/Traditional,Lambic & Sour Ale,Stout,Belgian Ale,Stout,Stout
Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale
Alternative/Traditional,Stout,Stout,Bock,Alternative/Traditional,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Alternative/Traditional,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Bock,Belgian Ale,Stout,Belgian Ale,Pale Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Bock,Stout,Lambic & Sour Ale,Stout,Stout
Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Bock,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Stout,Alternative/Traditional,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Alternative/Traditional,Belgian Ale,Belgian Ale,Belgian Ale,Stout
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Bock,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Stout,Belgian Ale
Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Stout,Stout
